Date,Item,Total Cost,Frequency,Min Price,Max Price
2024-05-06,PD HRB BASIL 1LB,$6.32,1,$6.32,$6.32
2024-05-06,BF INS RND XT SEL  R/W,$297.23,2,$-15.98,$313.21
2024-05-06,PD PPR BELL RED LG,$22.91,1,$22.91,$22.91
2024-05-06,CHX LEG QTR SM,$76.80,3,$25.60,$25.60
2024-05-06,CHX BRST JMB,$492.00,6,$82.00,$82.00
2024-05-06,SHRP P&D TO 16-20,$55.33,1,$55.33,$55.33
2024-05-06,DAWN HVY DTY PUMP  1GAL,$26.25,1,$26.25,$26.25
2024-05-06,FSH TUNA AHI LOIN,$193.20,2,$-37.20,$230.40
2024-05-06,PD CARROT JMBO 25#,$38.43,3,$12.81,$12.81
2024-05-06,GLV EXAM NIT BL LG,$457.80,13,$34.44,$35.28
2024-05-06,HONEY EXTRA LT AMB,$8.99,1,$8.99,$8.99
2024-05-06,TOM SAUCE HUNTS,$9.92,1,$9.92,$9.92
2024-05-06,VINEGR WINE RED    1GL,$78.19,8,$9.49,$10.04
2024-05-06,TOM PETITE DICED,$6.27,1,$6.27,$6.27
2024-05-06,PD SQUASH ITALN MD,$24.84,2,$-8.28,$33.12
2024-05-06,PD CUCUMBER SEL 72,$18.16,1,$18.16,$18.16
2024-05-06,WINE CKING SHERRY  4/1GL,$19.37,1,$19.37,$19.37
2024-05-06,QUINOA WHITE       5#,$23.04,1,$23.04,$23.04
2024-05-06,PD BROC CROWNS DW,$55.32,2,$27.66,$27.66
2024-05-06,PD BRUSSEL SPROUT,$29.61,1,$29.61,$29.61
2024-05-06,CONT SOUP CMB SC24,$31.39,1,$31.39,$31.39
2024-05-06,CONT SOUP CMB SC12,$23.40,1,$23.40,$23.40
2024-05-06,PD YAM JEWEL JBO,$20.55,1,$20.55,$20.55
2024-05-06,PD ONION YEL JBO,$25.31,1,$25.31,$25.31
2024-05-06,PD CABB GREEN SACK,$17.81,1,$17.81,$17.81
2024-05-06,PD POTATO RED A #2,$28.94,1,$28.94,$28.94
2024-05-06,DAMAGES DELI,$201.00,8,$3.00,$88.00
2024-05-06,Sub-Total,$1642.28,1,$1642.28,$1642.28
2024-05-06,Tax,$141.13,1,$141.13,$141.13
2024-05-06,Total,$1783.41,1,$1783.41,$1783.41
2024-05-06,DEBIT    6866,$1783.41,1,$1783.41,$1783.41
2024-05-06,Balance,$0.00,1,$0.00,$0.00
