Item: PEPPER CHIPOTLE, Total: $10.86, Count: 1, Min: $10.86, Max: $10.86
Item: DISHER FOOD BL#16, Total: $10.56, Count: 1, Min: $10.56, Max: $10.56
Item: LC 6" FRG BONING   KNIFE, Total: $10.28, Count: 1, Min: $10.28, Max: $10.28
Item: OS CRAISINS        48Z, Total: $9.93, Count: 1, Min: $9.93, Max: $9.93
Item: HEARTS OF PALM SLC 28Z, Total: $9.68, Count: 2, Min: $4.84, Max: $4.84
Item: MOP MAXICLEAN GRN, Total: $8.74, Count: 1, Min: $8.74, Max: $8.74
Item: SCRBBR STN/STL84CC, Total: $8.61, Count: 1, Min: $8.61, Max: $8.61
Item: GP WHOLE DILL, Total: $8.21, Count: 1, Min: $8.21, Max: $8.21
Item: PD ONION RED 10#, Total: $7.71, Count: 1, Min: $7.71, Max: $7.71
Item: SCRUBBER S/S 35G, Total: $7.40, Count: 1, Min: $7.40, Max: $7.40
Item: PINE CLEANER, Total: $7.29, Count: 1, Min: $7.29, Max: $7.29
Item: VINEGAR CIDER 4%   1GL, Total: $6.96, Count: 1, Min: $6.96, Max: $6.96
Item: SCR PAD MED DUTY   96CC, Total: $6.49, Count: 1, Min: $6.49, Max: $6.49
Item: SPONGE GRN/YEL, Total: $6.27, Count: 1, Min: $6.27, Max: $6.27
Item: GREEN SCRNG PADS, Total: $5.55, Count: 1, Min: $5.55, Max: $5.55
Item: GLOVE NITRILE SM, Total: $5.04, Count: 1, Min: $5.04, Max: $5.04
Item: LADLE S/S 2Z 1PC, Total: $3.59, Count: 1, Min: $3.59, Max: $3.59
Item: SCE SALT/CARAMEL, Total: $2.71, Count: 2, Min: $-1.81, Max: $4.52
Item: KIK BAG MYLAR, Total: $1.86, Count: 1, Min: $1.86, Max: $1.86
Item: DICER 1/4IN GS     4150-A, Total: $0.00, Count: 2, Min: $-124.40, Max: $124.40
Item: PD CILANTRO 1#, Total: $0.00, Count: 2, Min: $-5.19, Max: $5.19
Item: PD ORG HERB MIX, Total: $0.00, Count: 2, Min: $-8.80, Max: $8.80
Item: CHZ GOUDA SLICED, Total: $0.00, Count: 2, Min: $-12.76, Max: $12.76
Item: XXCHX PRTY WNG FRZ, Total: $0.00, Count: 2, Min: $-93.60, Max: $93.60
Item: TOM PASTE ISABELLA, Total: $0.00, Count: 2, Min: $-43.60, Max: $43.60
Item: CHOC/COCOA POWDER, Total: $0.00, Count: 2, Min: $-86.20, Max: $86.20
Item: BF CHUCK ROLL SEL  R/W, Total: $0.00, Count: 3, Min: $-271.51, Max: $284.69
Item: IOU PAYMNT X3148, Total: $-30.23, Count: 1, Min: $-30.23, Max: $-30.23
Item: IOU PAYMNT 6425, Total: $-35.93, Count: 2, Min: $-24.61, Max: $-11.32
Item: IOU PAYMNT X1389, Total: $-149.03, Count: 1, Min: $-149.03, Max: $-149.03
Item: IOU PAYMNT 6984, Total: $-294.93, Count: 1, Min: $-294.93, Max: $-294.93
